City_ID,City,Latitude,Longitude,Temp,Humidity,Clouds,Wind Speed,Country,Date
81,Mampong,7.0627,-1.4001,89.38,42,91,2.64,GH,1668175089
82,Richards Bay,-28.783,32.0377,78.75,65,100,17.34,ZA,1668175090
83,Poso,-1.3959,120.7524,77.85,89,100,3.6,ID,1668175090
84,Geraldton,-28.7667,114.6,61.21,51,40,13.8,AU,1668175090
85,Qaanaaq,77.484,-69.3632,-4.97,65,0,8.23,GL,1668175091
86,New Norfolk,-42.7826,147.0587,53.1,65,100,1.5,AU,1668175091
87,Hervey Bay,-25.2986,152.8535,69.48,66,3,7.54,AU,1668175091
88,Kaitangata,-46.2817,169.8464,48.29,93,100,4.59,NZ,1668175092
89,Bethel,41.3712,-73.414,61.02,83,100,3.38,US,1668175092
90,Saint Paul Harbor,57.79,-152.4072,39.09,97,100,26.89,US,1668175092
91,Vila Velha,-20.3297,-40.2925,84.15,79,75,10.36,BR,1668174981
92,Sturgeon Bay,44.8342,-87.377,41.4,93,100,14.97,US,1668175092
93,São Filipe,14.8961,-24.4956,78.12,70,98,6.22,CV,1668175093
94,Haines Junction,60.7522,-137.5108,13.95,92,95,1.14,CA,1668175093
95,Sitka,57.0531,-135.33,39.09,87,100,6.91,US,1668175093
96,Lebu,-37.6167,-73.65,59.41,65,56,13.2,CL,1668175094
97,Severo-Kuril'sk,50.6789,156.125,33.42,64,96,32.53,RU,1668175094
98,Ilulissat,69.2167,-51.1,5.65,95,100,3.04,GL,1668175094
99,Rawson,-43.3002,-65.1023,58.6,64,89,7.72,AR,1668175094
100,Bathsheba,13.2167,-59.5167,84.81,70,20,10.36,BB,1668175095
101,Punta Arenas,-53.15,-70.9167,48.31,49,0,16.11,CL,1668175125
102,Jūnāgarh,19.8667,82.9333,69.91,69,50,2.57,IN,1668175125
103,Katsuura,35.1333,140.3,64.24,78,11,9.95,JP,1668175126
104,Katherine,-14.4667,132.2667,82.72,69,96,5.75,AU,1668174986
105,Bambous Virieux,-20.3428,57.7575,77.25,73,75,5.75,MU,1668175126
106,Rome,43.2128,-75.4557,63.82,81,40,11.5,US,1668174976
107,Isangel,-19.55,169.2667,76.84,89,93,6.67,VU,1668175126
108,Longyearbyen,78.2186,15.6401,22.84,74,0,13.8,SJ,1668175127
109,Beira,-19.8436,34.8389,84.29,65,40,13.8,MZ,1668175127
110,Marabu,4.4148,114.0089,78.94,94,40,3.44,MY,1668175127
111,Springfield,37.2153,-93.2982,38.53,93,100,18.41,US,1668174951
112,Fortuna,40.5982,-124.1573,41.34,97,20,9.22,US,1668175128
113,Brugg,47.481,8.2087,56.79,95,100,2.44,CH,1668175128
114,Masaka,-0.3338,31.7341,72.41,61,100,5.73,UG,1668175128
115,Fairbanks,64.8378,-147.7164,13.6,89,76,3.58,US,1668175128
116,The Valley,18.217,-63.0578,84.09,78,20,12.66,AI,1668175129
117,Biltine,14.5333,20.9167,93.25,13,1,8.28,TD,1668175129
118,Iqaluit,63.7506,-68.5145,4.73,72,100,2.3,CA,1668175129
119,Olafsvik,64.8945,-23.7142,40.86,86,99,20.31,IS,1668175130
120,Tuatapere,-46.1333,167.6833,51.08,86,100,1.88,NZ,1668175130
121,Lagoa,39.05,-27.9833,61.05,63,5,12.84,PT,1668175130
122,Bluff,-46.6,168.3333,53.58,83,100,3.62,NZ,1668175130
123,Virden,39.5009,-89.7679,40.82,86,68,16.15,US,1668175131
124,Mana,5.6592,-53.7767,82.9,73,100,3.56,GF,1668175131
125,Narsaq,60.9167,-46.05,22.82,93,100,0.98,GL,1668175131
126,Kralendijk,12.15,-68.2667,76.98,94,75,5.75,BQ,1668175132
127,Saint-Joseph,-21.3667,55.6167,77.38,79,45,6.93,RE,1668175132
128,Saint George,37.1041,-113.5841,36.19,58,0,9.22,US,1668174724
129,Asău,46.4333,26.4,51.28,64,87,4.74,RO,1668175132
130,Hobart,-42.8794,147.3294,54.27,85,100,11.5,AU,1668174914
131,Half Moon Bay,37.4636,-122.4286,49.98,86,98,2.95,US,1668175133
132,George Town,5.4112,100.3354,76.98,95,40,4.61,MY,1668175001
133,Hualmay,-11.0964,-77.6139,66.13,78,76,8.55,PE,1668175133
134,Kavaratti,10.5669,72.642,82.83,61,100,5.84,IN,1668175133
135,Moshi,-3.35,37.3333,89.98,47,80,12.97,TZ,1668175134
136,Bredasdorp,-34.5322,20.0403,74.39,53,11,14.41,ZA,1668175134
137,Hilo,19.7297,-155.09,69.24,72,2,7.0,US,1668174855
138,Puerto Ayora,-0.7393,-90.3518,69.55,84,99,7.0,EC,1668175134
139,Peniche,39.3558,-9.3811,71.29,65,0,11.16,PT,1668175135
140,Mareeba,-17.0,145.4333,72.48,91,16,2.57,AU,1668175135
141,Klaksvík,62.2266,-6.589,50.92,85,96,24.0,FO,1668175135
142,Pailón,-17.65,-62.75,83.88,39,24,15.7,BO,1668175135
143,Inhambane,-23.865,35.3833,84.18,70,75,13.0,MZ,1668175136
144,Naryan-Mar,67.6713,53.087,17.51,97,88,5.17,RU,1668175136
145,Port Lincoln,-34.7333,135.8667,60.69,85,100,17.31,AU,1668175136
146,Lodwar,3.1191,35.5973,92.17,30,99,20.94,KE,1668175136
147,Todos Santos,23.45,-110.2167,65.3,90,6,3.69,MX,1668175137
148,Vardø,70.3705,31.1107,37.38,87,75,24.16,NO,1668175137
149,Ternate,0.8,127.4,81.61,79,98,5.23,ID,1668175137
150,Ibrā’,22.6906,58.5334,81.55,33,4,11.59,OM,1668175138
151,Atuona,-9.8,-139.0333,76.73,82,35,14.54,PF,1668175168
152,Nikolskoye,59.7035,30.7861,49.91,90,100,15.5,RU,1668175168
153,East London,-33.0153,27.9116,72.54,83,20,17.27,ZA,1668175169
154,Okoneshnikovo,54.8377,75.0834,30.45,91,100,7.07,RU,1668175169
155,Philadelphia,39.9523,-75.1638,64.36,89,100,1.01,US,1668174936
156,Mount Isa,-20.7333,139.5,74.97,83,100,9.22,AU,1668175169
157,Comodoro Rivadavia,-45.8667,-67.5,58.86,72,72,3.44,AR,1668175055
158,Dover,39.1582,-75.5244,70.0,70,100,1.99,US,1668175037
159,Nanortalik,60.1432,-45.2371,26.82,74,100,12.64,GL,1668175170
160,Aasiaat,68.7098,-52.8699,11.08,95,100,5.26,GL,1668175170
161,Severodvinsk,64.5635,39.8302,37.51,96,100,14.67,RU,1668175170
162,Gotha,50.9482,10.7019,59.18,52,0,10.36,DE,1668175170
163,Senigallia,43.7093,13.2167,64.69,72,86,14.0,IT,1668175171
164,Umluj,25.0213,37.2685,78.3,60,0,12.62,SA,1668175171
165,Balyqshy,47.0667,51.8667,35.6,87,0,4.47,KZ,1668175171
166,Barreirinhas,-2.7469,-42.8264,91.11,48,50,13.13,BR,1668175172
167,Ust'-Uda,54.1742,103.0304,21.36,80,94,3.22,RU,1668175172
168,Togur,58.3631,82.8265,27.75,98,100,4.21,RU,1668175172
169,Ntcheu,-14.8203,34.6359,75.06,55,86,5.73,MW,1668175172
170,Lavrentiya,65.5833,-171.0,12.79,83,10,8.48,RU,1668175173
171,Eydhafushi,5.1033,73.0708,81.75,68,100,3.78,MV,1668175173
172,Gōtsuchō,35.0,132.2167,59.07,67,0,5.66,JP,1668175173
173,Luanda,-8.8368,13.2343,84.2,58,40,9.22,AO,1668174960
174,Našice,45.4886,18.0878,58.55,75,100,5.75,HR,1668175174
175,Naze,28.3667,129.4833,74.32,90,100,14.9,JP,1668175174
176,Molepolole,-24.4066,25.4951,64.54,91,100,6.53,BW,1668175174
177,Rock Sound,24.9,-76.2,81.43,73,93,11.63,BS,1668175174
178,Husavik,66.0449,-17.3389,38.05,99,100,7.49,IS,1668175175
179,Waingapu,-9.6567,120.2641,82.36,77,100,7.2,ID,1668175175
180,Airai,-8.9266,125.4092,62.67,94,100,1.7,TL,1668175175
181,Srednekolymsk,67.45,153.6833,-25.26,100,67,3.85,RU,1668175176
182,Macao,22.2006,113.5461,77.86,88,0,4.61,MO,1668174931
183,Darhan,49.4867,105.9228,21.51,67,7,6.17,MN,1668175176
184,Westport,41.1415,-73.3579,64.02,87,100,3.0,US,1668174956
185,Kruisfontein,-34.0033,24.7314,76.89,72,100,14.41,ZA,1668175176
186,Noumea,-22.2763,166.4572,71.58,77,48,8.34,NC,1668175177
187,Bengkulu,-3.8004,102.2655,76.01,89,100,4.36,ID,1668175177
188,Boa Vista,2.8197,-60.6733,80.58,74,40,3.44,BR,1668175116
189,Flin Flon,54.7682,-101.865,8.44,85,100,5.75,CA,1668175177
190,Maniitsoq,65.4167,-52.9,22.24,58,100,6.46,GL,1668175177
191,Kavieng,-2.5744,150.7967,79.2,82,100,6.6,PG,1668175178
192,Bougouni,11.417,-7.479,96.78,13,8,1.32,ML,1668175178
193,Tiznit Province,29.5833,-9.5,80.11,17,0,5.91,MA,1668175178
194,Rakaia,-43.75,172.0167,52.23,97,100,6.53,NZ,1668175179
195,Samālkha,29.2333,77.0167,71.26,32,0,7.63,IN,1668175162
196,Catumbela,-12.4314,13.5472,77.81,65,91,9.84,AO,1668175179
197,Wanning,18.8003,110.3967,75.18,83,96,6.55,CN,1668175179
198,Mossamedes,-15.1961,12.1522,77.63,61,0,16.11,AO,1668175180
199,Seymchan,62.8833,152.4333,-17.68,97,100,2.06,RU,1668175180
200,Pevek,69.7008,170.3133,2.1,96,100,4.18,RU,1668175180
201,Encheng,22.1839,112.3026,71.37,86,0,3.02,CN,1668175210
202,Provideniya,64.3833,-173.3,13.64,87,5,7.09,RU,1668175211
203,Palmer,42.1584,-72.3287,62.85,89,100,5.03,US,1668175212
204,Itoigawa,37.0333,137.85,53.02,75,0,3.96,JP,1668175212
205,Karratha,-20.7377,116.8463,74.8,66,0,19.69,AU,1668175213
206,Barrow,71.2906,-156.7887,14.81,90,95,8.77,US,1668175005
207,Manavgat,36.7867,31.4431,68.83,40,0,3.74,TR,1668175026
208,Cherskiy,68.75,161.3,-22.27,100,99,3.51,RU,1668175214
209,San Fernando del Valle de Catamarca,-28.4696,-65.7852,83.59,44,44,4.0,AR,1668175214
210,Sur,22.5667,59.5289,80.08,65,4,5.73,OM,1668175215
211,Walvis Bay,-22.9575,14.5053,66.09,65,23,17.25,NA,1668175215
212,Ilhéus,-14.7889,-39.0494,78.78,86,96,5.08,BR,1668175215
213,Oistins,13.0667,-59.5333,81.66,73,98,16.96,BB,1668175216
214,Beloha,-25.1667,45.05,83.98,50,55,14.41,MG,1668175216
215,Toteşti,45.5667,22.8833,53.53,65,94,2.39,RO,1668175217
216,Norman Wells,65.282,-126.8329,12.65,96,100,0.69,CA,1668175217
217,Ixtapa,20.7,-105.2,71.22,70,40,3.89,MX,1668175218
218,Tocopilla,-22.092,-70.1979,68.2,65,2,7.4,CL,1668175218
219,Skibbereen,51.55,-9.2667,58.1,96,100,13.69,IE,1668175219
220,Marawi,7.9986,124.2928,70.07,95,100,0.65,PH,1668175220
221,Harper,4.375,-7.7169,81.37,74,80,8.25,LR,1668175222
222,Beringovskiy,63.05,179.3167,11.32,78,13,6.89,RU,1668175223
223,Apatzingán,19.0833,-102.35,73.85,79,40,0.74,MX,1668175223
224,Linkou,45.3,130.2833,46.36,88,100,8.63,CN,1668175224
225,George Town,5.4112,100.3354,76.98,95,40,4.61,MY,1668175054
226,Pokhara,28.2333,83.9833,58.3,70,34,6.26,NP,1668175224
227,Lorengau,-2.0226,147.2712,81.46,76,100,1.41,PG,1668175225
228,Forbes,-33.3833,148.0167,64.92,81,8,6.76,AU,1668175225
229,Tasiilaq,65.6145,-37.6368,31.3,71,100,27.02,GL,1668175225
230,Mabaruma,8.2,-59.7833,86.16,63,33,3.6,GY,1668175226
231,Amudat,1.95,34.95,83.5,33,99,14.99,UG,1668175226
232,Batagay-Alyta,67.8006,130.4114,-15.36,92,100,1.72,RU,1668175227
233,Bakchar,57.0186,82.0711,28.29,97,93,5.68,RU,1668175227
234,Shenjiamen,29.9576,122.298,69.21,94,7,10.89,CN,1668175228
235,Nome,64.5011,-165.4064,14.09,87,100,7.2,US,1668175228
236,Morondava,-20.2833,44.2833,83.77,68,63,15.43,MG,1668175229
237,La Ronge,55.1001,-105.2842,0.86,97,94,4.68,CA,1668175230
238,Santa Cruz de La Palma,28.6835,-17.7642,75.34,64,40,6.91,ES,1668175231
239,Tarko-Sale,64.9225,77.785,15.49,95,100,8.61,RU,1668175231
240,Santa Maria da Vitória,-13.3947,-44.1886,91.44,41,100,3.98,BR,1668175231
241,Fond du Lac,43.775,-88.4388,39.09,75,75,13.8,US,1668175216
242,Awjilah,29.1081,21.2869,73.58,28,0,10.02,LY,1668175232
243,Weihe,32.9952,105.3247,41.41,81,100,9.33,CN,1668175232
244,Pacific Grove,36.6177,-121.9166,53.42,94,98,8.1,US,1668175211
245,Nouadhibou,20.931,-17.0347,72.43,66,100,6.4,MR,1668175233
246,Ilo,-17.6394,-71.3375,68.25,70,50,9.22,PE,1668175233
247,Kyren,51.6828,102.1408,13.06,86,45,2.21,RU,1668175234
248,Samarina,57.8878,27.8054,49.89,92,100,16.15,RU,1668175234
249,Dublin,37.7021,-121.9358,48.9,78,100,2.62,US,1668175087
250,Mackenzie,55.2999,-123.1698,13.46,95,100,0.51,CA,1668175219
251,Thompson,55.7435,-97.8558,-7.1,97,99,4.05,CA,1668175266
252,Deputatsky,69.3,139.9,-17.25,97,86,3.42,RU,1668175266
253,Gloucester,51.8657,-2.2431,62.22,79,75,20.0,GB,1668175245
254,Northam,51.0333,-4.2167,62.38,84,59,19.01,GB,1668175266
255,La Cruz,23.9167,-106.9,69.08,89,49,3.13,MX,1668175267
256,Moree,-29.4667,149.85,69.6,60,100,7.11,AU,1668175267
257,La Rioja,42.25,-2.5,56.98,52,6,15.21,ES,1668175267
258,Vanimo,-2.6741,141.3028,79.11,85,100,4.52,PG,1668175268
259,Arraial do Cabo,-22.9661,-42.0278,74.01,82,16,7.49,BR,1668175268
260,Egvekinot,66.3167,-179.1667,-3.12,89,11,6.78,RU,1668175268
261,Tacoronte,28.4769,-16.4102,70.39,80,40,10.36,ES,1668175269
262,Neresnytsya,48.1181,23.7659,49.48,74,100,2.95,UA,1668175269
